ID,Health,Type
1,40,Dove
2,80,Dove
3,40,Dove
4,80,Dove
5,40,Dove
6,80,Dove
7,60,Dove
8,60,Dove
9,40,Dove
10,100,Dove
11,60,Dove
12,80,Dove
13,20,Dove
14,20,Dove
15,20,Dove
16,40,Dove
17,40,Dove
18,40,Dove
19,20,Dove
20,100,Dove
21,100,Dove
22,20,Dove
23,40,Dove
24,20,Dove
25,80,Dove
26,40,Dove
27,80,Dove
28,40,Dove
29,60,Dove
30,80,Dove
31,20,Dove
32,100,Dove
33,40,Dove
34,100,Dove
35,60,Dove
36,80,Dove
37,60,Dove
38,60,Dove
39,40,Dove
40,100,Dove
41,100,Dove
42,40,Dove
43,40,Dove
44,60,Dove
45,40,Dove
46,40,Dove
47,80,Dove
48,20,Dove
49,80,Dove
50,100,Dove
51,100,Dove
52,40,Dove
53,100,Dove
54,40,Dove
55,80,Dove
56,100,Dove
57,80,Dove
58,20,Dove
59,60,Dove
60,20,Dove
61,60,Dove
62,40,Dove
63,20,Dove
64,40,Dove
65,100,Dove
66,20,Dove
67,80,Dove
68,100,Dove
69,60,Dove
70,60,Dove
71,60,Dove
72,100,Dove
73,40,Dove
74,100,Dove
75,80,Dove
76,20,Dove
77,20,Dove
78,60,Dove
79,80,Dove
80,80,Dove
81,100,Dove
82,60,Dove
83,100,Dove
84,80,Dove
85,60,Dove
86,40,Dove
87,60,Dove
88,60,Dove
89,40,Dove
90,80,Dove
91,100,Dove
92,100,Dove
93,40,Dove
94,80,Dove
95,40,Dove
96,80,Dove
97,80,Dove
98,60,Dove
99,20,Dove
100,20,Dove
101,60,Dove
102,40,Dove
103,80,Dove
104,100,Dove
105,80,Dove
106,80,Dove
107,80,Dove
108,80,Dove
109,80,Dove
110,60,Dove
111,60,Dove
112,80,Dove
113,20,Dove
114,60,Dove
115,80,Dove
116,60,Dove
117,60,Dove
118,80,Dove
119,60,Dove
120,80,Dove
121,40,Dove
122,40,Dove
123,100,Dove
124,40,Dove
125,20,Dove
126,40,Dove
127,60,Dove
128,80,Dove
129,80,Dove
130,80,Dove
131,40,Dove
132,40,Dove
133,80,Dove
134,80,Dove
135,40,Dove
136,20,Dove
137,100,Dove
138,100,Dove
139,80,Dove
140,20,Dove
141,60,Dove
142,60,Dove
143,60,Dove
144,60,Dove
145,40,Dove
146,40,Hawk
147,20,Hawk
148,40,Hawk
149,60,Hawk
150,100,Hawk
151,40,Hawk
152,100,Hawk
153,100,Hawk
154,40,Hawk
155,40,Hawk
156,20,Hawk
157,80,Hawk
158,40,Hawk
159,20,Hawk
160,20,Hawk
161,60,Hawk
162,60,Hawk
163,40,Hawk
164,60,Hawk
165,40,Hawk
166,20,Hawk
167,20,Hawk
168,60,Hawk
169,60,Hawk
170,60,Hawk
171,40,Hawk
172,80,Hawk
173,80,Hawk
174,40,Hawk
175,100,Hawk
176,100,Hawk
177,20,Hawk
178,20,Hawk
179,60,Hawk
180,60,Hawk
181,20,Hawk
182,80,Hawk
183,20,Hawk
184,80,Hawk
185,20,Hawk
186,60,Hawk
187,100,Hawk
188,80,Hawk
189,60,Hawk
190,60,Hawk
191,20,Hawk
192,100,Hawk
193,100,Hawk
194,100,Hawk
195,20,Hawk
196,100,Hawk
197,80,Hawk
198,20,Hawk
199,100,Hawk
200,20,Hawk
201,100,Hawk
202,40,Hawk
203,80,Hawk
204,20,Hawk
205,100,Hawk
206,60,Hawk
207,40,Hawk
208,100,Hawk
209,80,Hawk
210,100,Hawk
211,60,Hawk
212,100,Hawk
213,60,Hawk
214,80,Hawk
215,20,Hawk
216,100,Hawk
217,80,Hawk
218,100,Hawk
219,80,Hawk
220,100,Hawk
221,100,Hawk
222,20,Hawk
223,40,Hawk
224,100,Hawk
225,20,Hawk
226,80,Hawk
227,100,Hawk
228,20,Hawk
229,20,Hawk
230,80,Hawk
231,40,Hawk
232,40,Hawk
233,40,Hawk
234,40,Hawk
235,80,Hawk
236,60,Hawk
237,100,Hawk
238,60,Hawk
239,100,Hawk
240,40,Hawk
241,100,Hawk
242,40,Hawk
243,100,Hawk
244,20,Hawk
245,40,Hawk
246,80,Hawk
247,40,Hawk
248,20,Hawk
249,80,Hawk
250,40,Hawk
251,40,Hawk
252,100,Hawk
253,60,Hawk
254,20,Hawk
255,60,Hawk
256,100,Hawk
257,40,Hawk
258,100,Hawk
259,100,Hawk
260,80,Hawk
261,20,Hawk
262,80,Hawk
263,100,Hawk
264,60,Hawk
265,40,Hawk
266,40,Hawk
267,40,Hawk
268,80,Hawk
269,60,Hawk
270,80,Hawk
271,40,Hawk
272,20,Hawk
273,80,Hawk
274,80,Hawk
275,20,Hawk
276,80,Hawk
277,80,Hawk
278,20,Hawk
279,100,Hawk
280,60,Hawk
281,40,Hawk
282,100,Hawk
283,80,Hawk
284,20,Hawk
285,80,Hawk
286,20,Hawk
287,20,Hawk
288,20,Hawk
289,60,Hawk
290,40,Hawk
