ID,Health,Type
1,80,Dove
2,40,Dove
3,40,Dove
4,100,Dove
5,80,Dove
6,20,Dove
7,20,Dove
8,20,Dove
9,20,Dove
10,20,Dove
11,100,Dove
12,80,Dove
13,60,Dove
14,20,Dove
15,20,Dove
16,100,Dove
17,40,Dove
18,80,Dove
19,60,Dove
20,80,Dove
21,60,Dove
22,40,Dove
23,60,Dove
24,40,Dove
25,80,Dove
26,60,Dove
27,100,Dove
28,20,Dove
29,20,Dove
30,20,Dove
31,20,Dove
32,40,Dove
33,20,Dove
34,20,Dove
35,60,Dove
36,100,Dove
37,80,Dove
38,60,Dove
39,80,Dove
40,40,Dove
41,80,Dove
42,20,Dove
43,100,Dove
44,40,Dove
45,60,Dove
46,80,Dove
47,80,Dove
48,20,Dove
49,40,Dove
50,100,Dove
51,60,Dove
52,60,Dove
53,60,Dove
54,40,Dove
55,40,Dove
56,100,Dove
57,100,Dove
58,80,Dove
59,100,Dove
60,40,Dove
61,20,Dove
62,80,Dove
63,40,Dove
64,20,Dove
65,40,Dove
66,100,Dove
67,100,Dove
68,40,Dove
69,20,Dove
70,40,Dove
71,60,Dove
72,60,Dove
73,20,Dove
74,80,Dove
75,80,Dove
76,60,Dove
77,80,Dove
78,40,Dove
79,100,Dove
80,20,Dove
81,20,Dove
82,40,Dove
83,100,Dove
84,80,Dove
85,20,Dove
86,60,Dove
87,80,Dove
88,20,Dove
89,40,Dove
90,60,Dove
91,100,Dove
92,80,Dove
93,60,Dove
94,40,Dove
95,80,Dove
96,20,Dove
97,80,Dove
98,100,Dove
99,20,Dove
100,20,Dove
101,60,Dove
102,100,Dove
103,100,Dove
104,60,Dove
105,100,Dove
106,80,Dove
107,80,Dove
108,60,Dove
109,60,Dove
110,60,Dove
111,20,Dove
112,60,Dove
113,20,Dove
114,20,Dove
115,80,Dove
116,20,Dove
117,60,Dove
118,60,Dove
119,60,Dove
120,20,Dove
121,40,Dove
122,40,Dove
123,80,Dove
124,80,Dove
125,20,Dove
126,100,Dove
127,100,Dove
128,20,Dove
129,80,Dove
130,80,Dove
131,60,Dove
132,60,Dove
133,60,Dove
134,40,Dove
135,100,Dove
136,60,Dove
137,80,Dove
138,80,Dove
139,20,Dove
140,60,Dove
141,40,Dove
142,60,Dove
143,80,Dove
144,20,Dove
145,100,Dove
146,20,Hawk
147,20,Hawk
148,80,Hawk
149,80,Hawk
150,80,Hawk
151,40,Hawk
152,100,Hawk
153,40,Hawk
154,60,Hawk
155,60,Hawk
156,80,Hawk
157,60,Hawk
158,20,Hawk
159,60,Hawk
160,20,Hawk
161,20,Hawk
162,40,Hawk
163,60,Hawk
164,100,Hawk
165,60,Hawk
166,40,Hawk
167,80,Hawk
168,100,Hawk
169,40,Hawk
170,100,Hawk
171,20,Hawk
172,60,Hawk
173,20,Hawk
174,40,Hawk
175,40,Hawk
176,80,Hawk
177,40,Hawk
178,20,Hawk
179,40,Hawk
180,80,Hawk
181,20,Hawk
182,100,Hawk
183,80,Hawk
184,40,Hawk
185,60,Hawk
186,60,Hawk
187,40,Hawk
188,20,Hawk
189,100,Hawk
190,40,Hawk
191,40,Hawk
192,60,Hawk
193,80,Hawk
194,20,Hawk
195,80,Hawk
196,40,Hawk
197,60,Hawk
198,100,Hawk
199,20,Hawk
200,60,Hawk
201,60,Hawk
202,20,Hawk
203,80,Hawk
204,60,Hawk
205,40,Hawk
206,40,Hawk
207,40,Hawk
208,100,Hawk
209,80,Hawk
210,20,Hawk
211,20,Hawk
212,100,Hawk
213,60,Hawk
214,40,Hawk
215,80,Hawk
216,20,Hawk
217,80,Hawk
218,80,Hawk
219,40,Hawk
220,60,Hawk
221,20,Hawk
222,40,Hawk
223,60,Hawk
224,80,Hawk
225,40,Hawk
226,40,Hawk
227,40,Hawk
228,40,Hawk
229,100,Hawk
230,60,Hawk
231,100,Hawk
232,60,Hawk
233,20,Hawk
234,40,Hawk
235,80,Hawk
236,20,Hawk
237,20,Hawk
238,80,Hawk
239,60,Hawk
240,100,Hawk
241,20,Hawk
242,80,Hawk
243,40,Hawk
244,80,Hawk
245,20,Hawk
246,100,Hawk
247,80,Hawk
248,20,Hawk
249,100,Hawk
250,20,Hawk
251,100,Hawk
252,20,Hawk
253,60,Hawk
254,100,Hawk
255,20,Hawk
256,60,Hawk
257,80,Hawk
258,60,Hawk
259,100,Hawk
260,100,Hawk
261,100,Hawk
262,40,Hawk
263,100,Hawk
264,40,Hawk
265,20,Hawk
266,60,Hawk
267,80,Hawk
268,60,Hawk
269,40,Hawk
270,60,Hawk
271,20,Hawk
272,60,Hawk
273,20,Hawk
274,100,Hawk
275,20,Hawk
276,20,Hawk
277,40,Hawk
278,100,Hawk
279,20,Hawk
280,40,Hawk
281,100,Hawk
282,60,Hawk
283,60,Hawk
284,80,Hawk
285,20,Hawk
286,20,Hawk
287,20,Hawk
288,80,Hawk
289,80,Hawk
290,60,Hawk
